Domain,Subdomain,Definition,Exemplary Concepts
Physical,Matter and Substances,"This subdomain encompasses human conceptualization of the material composition of reality, including the fundamental building blocks of the physical world and their perceived properties. It captures how humans categorize and understand different types of matter based on observable characteristics, composition, and behavioral properties.","Metals (iron, gold, copper); Liquids (water, oil, blood); Gases (air, steam, smoke); Organic materials (wood, leather, bone); Minerals and stones (granite, quartz, clay); Composites (concrete, plastic, alloys); Powders and granules (sand, flour, salt); Biological substances (flesh, plant matter, bodily fluids)"
Physical,Motion and Location,"This subdomain captures human understanding of movement, positioning, and spatial relationships in the physical world. It encompasses both the static concept of where things are located and the dynamic concept of how things move through space, as perceived and conceptualized by human cognition.","Types of motion (walking, running, falling, rotating, vibrating); Directional movement (ascending, descending, approaching, retreating); Positional relationships (above, below, inside, adjacent, behind); Trajectories (straight line, curved path, circular motion, zigzag); Speed variations (accelerating, decelerating, constant velocity); Relative motion (following, chasing, orbiting, parallel movement); Positional states (stationary, balanced, tilted, suspended); Spatial boundaries (edges, surfaces, perimeters, centers)"
Physical,Physical Transformation,"This subdomain encompasses processes of physical change that alter the form, state, or properties of matter without necessarily changing its fundamental identity. It captures how humans understand and categorize the various ways physical entities can be modified, combined, or altered through natural or intentional processes.","State changes (melting, freezing, evaporation, condensation, sublimation); Mechanical transformations (breaking, cutting, grinding, shaping, molding); Thermal processes (heating, cooling, burning, charring); Chemical-physical changes (rusting, fermentation, decay, crystallization); Mixing and separation (dissolving, filtering, distillation, precipitation); Deformation (stretching, compressing, bending, twisting); Assembly and disassembly (construction, demolition, joining, splitting); Weathering processes (erosion, oxidation, wear, aging)"
Physical,Natural Phenomena,"This subdomain encompasses large-scale physical events and processes that occur in the natural environment, typically beyond direct human control. It captures how humans perceive, categorize, and understand weather patterns, geological events, astronomical phenomena, and other manifestations of natural forces.","Weather phenomena (rain, snow, wind, storms, lightning, rainbows); Geological events (earthquakes, volcanic eruptions, landslides, tsunamis); Astronomical phenomena (sunrise, sunset, eclipses, meteor showers, tides); Seasonal patterns (spring blooming, autumn leaf change, winter dormancy); Atmospheric effects (fog, mist, aurora, mirages, optical illusions); Water phenomena (waterfalls, geysers, hot springs, floods, droughts); Fire phenomena (wildfires, spontaneous combustion, electrical discharges); Magnetic and electrical (magnetic fields, static electricity, natural radiation)"
Physical,Manipulation and Interaction with Objects,"This subdomain captures the various ways humans physically engage with, modify, and control objects in their environment. It encompasses both the actions humans perform on objects and the cognitive understanding of how objects can be manipulated, used as tools, or arranged to achieve specific goals.","Basic manipulations (grasping, lifting, pushing, pulling, carrying, throwing); Tool use (cutting with knives, hammering, digging, measuring, writing); Fine motor control (threading, drawing, carving, assembling small parts); Object arrangement (stacking, organizing, aligning, sorting, grouping); Force application (pressing, squeezing, twisting, leverage, mechanical advantage); Construction activities (building, joining, fastening, weaving, molding); Destructive actions (breaking, tearing, crushing, dismantling); Precision operations (aiming, balancing, calibrating, adjusting)"
Biological,Biological Entities and Life Processes,"This subdomain encompasses human conceptualization of living beings and the fundamental processes that characterize life. It captures how humans categorize and understand organisms, their life cycles, and the essential activities that distinguish living from non-living entities, based on observable behaviors and intuitive biological knowledge.","Organisms by type (animals, plants, fungi, microorganisms, parasites); Life cycle stages (birth, growth, reproduction, aging, death); Vital processes (breathing, feeding, metabolism, circulation, excretion); Reproductive processes (mating, pregnancy, laying eggs, pollination, spawning); Growth and development (germination, maturation, molting, flowering); Species interactions (predation, symbiosis, competition, cooperation); Biological inheritance (genetics, heredity, family resemblance, breeding); Adaptation mechanisms (evolution, natural selection, survival strategies)"
Biological,Health and Illness,"This subdomain captures human understanding of the spectrum from wellness to disease, including the recognition, categorization, and management of health states. It encompasses both physical and mental health conditions as they are experienced, perceived, and culturally understood by humans, rather than purely medical definitions.","Health states (wellness, vitality, fitness, robustness, energy levels); Illness types (infections, injuries, chronic conditions, genetic disorders); Symptoms and signs (pain, fever, fatigue, inflammation, weakness); Mental health conditions (depression, anxiety, stress, cognitive decline); Recovery processes (healing, convalescence, rehabilitation, remission); Preventive measures (hygiene, exercise, nutrition, immunization, rest); Health threats (contagion, toxins, environmental hazards, aging); Disability and impairment (sensory loss, mobility limitations, cognitive deficits)"
Biological,Body and Anatomy,"This subdomain encompasses human conceptualization of bodily structure, including the recognition, naming, and understanding of body parts, their spatial relationships, and their functional organization. It captures both external anatomy visible to everyday observation and internal structures understood through embodied experience.","External body parts (head, limbs, torso, facial features, skin, hair); Internal organs (heart, lungs, brain, stomach, liver, kidneys); Body systems (skeletal, muscular, nervous, circulatory, digestive); Sensory organs (eyes, ears, nose, mouth, skin receptors); Body cavities and spaces (chest, abdomen, joints, body openings); Body proportions (symmetry, size relationships, anatomical landmarks); Gender-specific anatomy (reproductive organs, secondary sex characteristics); Developmental anatomy (infant, child, adult, elderly body configurations)"
Biological,Physiological Functions,"This subdomain captures human understanding of the ongoing biological processes that maintain life and enable bodily functions. It encompasses the recognition and conceptualization of automatic and voluntary bodily processes, from basic vital functions to complex coordinated activities.","Vital functions (heartbeat, breathing, circulation, digestion, excretion); Sensory processes (seeing, hearing, smelling, tasting, touching); Motor functions (walking, grasping, balance, coordination, reflexes); Regulatory processes (temperature control, sleep-wake cycles, hunger-satiety); Cognitive functions (attention, memory, perception, consciousness); Reproductive functions (sexual arousal, menstruation, lactation, fertility); Immune responses (inflammation, wound healing, disease resistance); Developmental processes (growth spurts, puberty, aging changes)"
Biological,Ecological Systems,"This subdomain encompasses human understanding of the interconnected relationships between living organisms and their environments, including concepts of habitats, ecosystems, and environmental interdependence. It captures how humans perceive and categorize the complex web of relationships that sustain life on multiple scales.","Habitat types (forests, grasslands, wetlands, deserts, marine environments); Ecological relationships (food chains, predator-prey, pollination, decomposition); Environmental cycles (seasonal changes, water cycle, nutrient cycling); Biodiversity patterns (species richness, endemic species, invasive species); Resource flows (energy transfer, material cycling, migration patterns); Environmental pressures (climate, competition, limited resources, natural disasters); Human-environment interaction (agriculture, conservation, pollution, habitat modification); Ecosystem services (pollination, water purification, climate regulation, soil formation)"
Social,Social Roles and Identities,"This subdomain encompasses human understanding of the various positions, functions, and identities that individuals occupy within social structures. It captures how humans conceptualize social personas, status positions, and the behavioral expectations associated with different social categories and relationships.","Family roles (parent, child, sibling, grandparent, spouse, in-law); Professional roles (teacher, doctor, manager, employee, entrepreneur, artist); Community roles (leader, elder, newcomer, neighbor, volunteer, citizen); Age-based identities (infant, child, teenager, adult, senior); Gender identities (masculine, feminine, non-binary expressions and roles); Social status markers (wealthy, poor, educated, prestigious, marginalized); Cultural identities (ethnic, religious, regional, national affiliations); Achieved vs. ascribed roles (earned positions vs. inherited status)"
Social,Institutions and Organizations,"This subdomain captures human understanding of formal and informal social structures that organize collective activities, establish rules, and coordinate group behavior. It encompasses how humans conceptualize, participate in, and navigate various organizational forms that structure social life.","Educational institutions (schools, universities, libraries, training centers); Religious organizations (churches, temples, monasteries, religious orders); Government bodies (legislatures, courts, bureaucracies, military, police); Economic institutions (markets, banks, corporations, trade unions, cooperatives); Healthcare systems (hospitals, clinics, insurance, medical associations); Cultural institutions (museums, theaters, media organizations, festivals); Social service organizations (charities, NGOs, community centers, support groups); Informal institutions (clubs, societies, networks, traditions, customs)"
