idFrame,name,description
827,Access_scenario,A Theme is or is not capable of entering or accessing a Useful_location because of/despite a Barrier.
1368,Attempting_and_resolving_scenario,"An #Agent has a particular #Goal in mind, and then uses some #Means that they believe will bring about the #Goal.  The #Agent succeeds or fails inasmuch as the result of the #Means action matches the #Goal."
1369,Attempt_action_scenario,"This frame represents the core action of an Attempt, where an #Agent has a #Goal and performs some #Means action that they believe will achieve the #Goal.  See its two perspectivized frames for further information."
842,Attempt_distant_interaction_scenario,"An #Agent attempts to interact with a relatively distant or indirectly accessible #Target using some #Instrument (which may be a body part, e.g. <ment>hand</ment>).  The #Agent's ability to manipulate the #Instrument and put it in the #Target location is in question.  The most common types of distant interaction involve an #Agent attempting to move the #Instrument ballistically so that it contacts the #Target (e.g. Shooting_scenario), or an #Agent attempting to direct an #Instrument that enables perception at a #Target_location to be examined."
887,Attempt_obtain_food_scenario,A #Seeker is trying to obtain #Food and is seeking it within the context of a #Ground. 
973,Attempt_obtain_mineral_scenario,"An #Agent attempts to obtain a non-renewable resource, often solid minerals or metals, but also oil, water, and other valuable substances."
1437,Awareness_change_scenario,"An #Experiencer becomes aware of some #Phenomenon (a situation, fact, or idea) that they formerly did not have in their mind."
1165,Birth_scenario,"An #Offspring is born to a #Mother and #Father, collectively referred to as #Parents. This event happens at a particular #Time and #Place."
195,Causation_scenario,"A #Cause brings about an #Effect that would not have occurred otherwise, simultaneously preventing an #Averted_situation, which is what would have occurred without the #Cause.  The #Effect and the #Averted_situation are thus mutually exclusive alternatives prior to the #Cause event.  In most cases, either the #Effect or the #Averted_situation is clearly most prominent; this is especially true in the case where the #Cause is the action of an Agent, who normally conceives of their action as either bringing about a desirable #Effect or avoiding an undesirable #Averted_situation.
<ex></ex>
In frames that inherit from this one, the #Cause is either an event, or an entity that plans or directly causes the #Effect may metonymically stand in for the #Cause event."
602,Change_of_phase_scenario,The sequence of events in which the #Patient begins as one state of matter and ends up as another.
76,Commerce_scenario,"Commerce is a situation in which a #Buyer and a #Seller have agreed upon an exchange of #Money and #Goods (possibly after a negotiation), and then perform the exchange, optionally carrying it out with various kinds of direct payment or financing or the giving of change.

The #Seller indicates their willingness to give the #Goods in their possession to a #Buyer who would give them some amount of #Money.  The #Seller may have already decided on the amount of money that they would require, in which case it is called the Asking price.

The #Buyer also indicates their willingness to give an amount of money called an Offer to a #Seller who would give them the #Goods.

Normally the process is begun by the #Seller.  The means by which the #Seller indicates their wish to engage in an exchange are various, ranging from putting a price tag on an item on a store shelf, to advertizing, to communicating directly and specifically with a possible #Buyer.  In some cases, however, the process may be initiated by the #Buyer indicating to a possible #Seller that they would like to make an exchange.

<ex>[buyer|Target] beware.</ex>"
