Domain,Subdomain,Scenario,Definition,Elements,Relations
Biological,Biological Entities and Life Processes,Life Cycle Recognition and Developmental Stages,"In this scenario, a #LifeObserver tracks #LivingOrganisms through #DevelopmentalStages from #InitialStates to #MatureStates, recognizing #LifeCyclePatterns and #GrowthProcesses. The observer understands #BiologicalTransitions and #SpeciesCharacteristics that define normal development.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans understand living things as following predictable developmental sequences with characteristic stages and transitions
- **Principle 2:** Universal: birth-growth-reproduction-death cycles, maturation concepts; Cultural: specific knowledge about local species, life stage terminology
- **Principle 3:** Connects to Temporal domain (developmental time), Physical domain (growth changes), Cognitive domain (pattern recognition)","- **LifeObserver** (Entity): Person monitoring and understanding biological development - **LivingOrganisms** (Entity): Plants, animals, and other life forms undergoing development - **DevelopmentalStages** (State): Distinct phases in organism life cycles - **InitialStates** (State): Beginning conditions of life (seeds, eggs, births) - **MatureStates** (State): Adult or fully developed forms of organisms - **LifeCyclePatterns** (State): Regular sequences of development characteristic of species - **GrowthProcesses** (Process): Biological changes leading to increased size, complexity, or maturity - **BiologicalTransitions** (Process): Changes between developmental stages - **SpeciesCharacteristics** (Quality): Traits typical of particular types of organisms",
Biological,Biological Entities and Life Processes,Vital Functions and Biological Activities,"In this scenario, a #BiologicalMonitor observes #VitalSigns and #LifeFunctions in #ActiveOrganisms, recognizing #BiologicalActivities such as #Feeding, #Breathing, #Movement, and #Reproduction. The monitor understands #LifeIndicators that distinguish living from non-living entities.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans recognize life through observable vital functions and biological activities that demonstrate active, self-maintaining processes
- **Principle 2:** Universal: movement, feeding, breathing as life signs; Cultural: specific biological knowledge, traditional life detection methods
- **Principle 3:** Connects to Physical domain (observable movement), Cognitive domain (life detection), Health domain (vital function assessment)",- **BiologicalMonitor** (Entity): Person observing and assessing biological functions - **VitalSigns** (Entity): Observable indicators of life and biological activity - **LifeFunctions** (Process): Essential biological processes maintaining life - **ActiveOrganisms** (Entity): Living beings displaying biological activities - **BiologicalActivities** (Process): Behaviors and functions characteristic of living things - **Feeding** (Process): Consumption and processing of nutrients - **Breathing** (Process): Gas exchange necessary for metabolism - **Movement** (Process): Self-directed locomotion or position changes - **Reproduction** (Process): Creation of offspring or new individuals - **LifeIndicators** (Entity): Signs that distinguish living from non-living entities,
Biological,Biological Entities and Life Processes,Species Interactions and Ecological Relationships,"In this scenario, an #EcologyObserver studies #InteractingSpecies in #BiologicalCommunities, recognizing #InterspeciesRelationships such as #Predation, #Competition, #Cooperation, and #Symbiosis. The observer understands #EcologicalNiches and #SurvivalStrategies that shape species interactions.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans understand that different species interact in systematic ways that affect survival, reproduction, and resource access
- **Principle 2:** Universal: predator-prey concepts, competition for resources; Cultural: traditional ecological knowledge, local species interaction understanding
- **Principle 3:** Connects to Social domain (competitive and cooperative behaviors), Ecological domain (environmental relationships), Cognitive domain (causal understanding)",- **EcologyObserver** (Entity): Person studying relationships between different species - **InteractingSpecies** (Entity): Different types of organisms that affect each other - **BiologicalCommunities** (Entity): Groups of species living in shared environments - **InterspeciesRelationships** (Relation): Connections between different types of organisms - **Predation** (Process): One species consuming another for nutrition - **Competition** (Process): Species struggling for the same resources - **Cooperation** (Process): Species working together for mutual benefit - **Symbiosis** (Process): Close relationships between different species - **EcologicalNiches** (State): Specific roles species play in their environments - **SurvivalStrategies** (Process): Adaptations that help species persist and reproduce,
Biological,Body and Anatomy,Body Part Recognition and Structural Understanding,"In this scenario, an #AnatomicalObserver identifies #BodyParts and understands #AnatomicalStructures, recognizing #SpatialRelationships between different #BodyRegions and understanding #StructuralOrganization of the #BodySystem. The observer maps #AnatomicalLocations and their #FunctionalConnections.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans naturally categorize the body into distinct parts with spatial relationships and understand anatomical organization through part-whole hierarchies
- **Principle 2:** Universal: basic body part concepts, spatial body organization; Cultural: specific anatomical terminology, cultural body concepts
- **Principle 3:** Connects to Spatial domain (body mapping), Cognitive domain (categorization), Cultural domain (body knowledge systems)",- **AnatomicalObserver** (Entity): Person identifying and understanding body structures - **BodyParts** (Entity): Distinct anatomical components with specific identities - **AnatomicalStructures** (Entity): Organized body components with defined forms - **SpatialRelationships** (Relation): Positional connections between body parts - **BodyRegions** (Entity): Larger anatomical areas containing multiple parts - **StructuralOrganization** (State): Systematic arrangement of anatomical components - **BodySystem** (Entity): The complete anatomical structure of an organism - **AnatomicalLocations** (State): Specific positions of body parts within the whole - **FunctionalConnections** (Relation): Relationships between parts based on shared functions,
Biological,Body and Anatomy,Internal vs External Body Awareness,"In this scenario, a #BodyPerceiver distinguishes between #ExternalFeatures visible on #BodySurfaces and #InternalStructures located within #BodyCavities. The perceiver uses #DirectObservation for external anatomy and #ProprioceptiveAwareness for internal body sense, understanding #VisibilityDifferences in anatomical access.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans understand the body as having both visible external features and hidden internal structures, using different methods to access each type
- **Principle 2:** Universal: inside-outside body distinction, hidden organ awareness; Cultural: internal anatomy knowledge systems, body transparency concepts
- **Principle 3:** Connects to Perceptual domain (internal/external sensation), Cognitive domain (hidden structure reasoning), Cultural domain (anatomical knowledge)",- **BodyPerceiver** (Entity): Person distinguishing between internal and external body aspects - **ExternalFeatures** (Entity): Visible anatomical structures on body surfaces - **BodySurfaces** (Entity): Outer boundaries and visible areas of the body - **InternalStructures** (Entity): Hidden anatomical components within the body - **BodyCavities** (Entity): Internal spaces containing organs and structures - **DirectObservation** (Process): Visual and tactile examination of external features - **ProprioceptiveAwareness** (Process): Internal sensing of body position and condition - **VisibilityDifferences** (Quality): Variation in accessibility of different body parts,
Biological,Body and Anatomy,Body Symmetry and Proportional Relationships,"In this scenario, a #ProportionAnalyst examines #BodySymmetry and #ProportionalRelationships between #AnatomicalDimensions, recognizing #BilateralPatterns and #SizeRelationships that characterize normal #BodyProportions. The analyst understands #SymmetryDeviations and #ProportionalVariations.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans recognize the body as fundamentally symmetrical with predictable proportional relationships between parts
- **Principle 2:** Universal: bilateral symmetry, proportional expectations; Cultural: beauty standards, proportional ideals, artistic body representation
- **Principle 3:** Connects to Spatial domain (geometric relationships), Aesthetic domain (proportional beauty), Cognitive domain (pattern recognition)",- **ProportionAnalyst** (Entity): Person examining body symmetry and proportional relationships - **BodySymmetry** (Quality): Bilateral correspondence between left and right body sides - **ProportionalRelationships** (Relation): Size correspondences between different body parts - **AnatomicalDimensions** (Quality): Measurements and sizes of body components - **BilateralPatterns** (State): Symmetrical arrangements of paired body features - **SizeRelationships** (Relation): Comparative dimensions between body parts - **BodyProportions** (State): Overall dimensional relationships characterizing body form - **SymmetryDeviations** (Quality): Departures from expected bilateral correspondence - **ProportionalVariations** (Quality): Differences from typical size relationships,
Biological,Ecological Systems,Habitat Relationships and Environmental Adaptation,"In this scenario, an #EcologicalObserver studies #OrganismGroups in their #NaturalHabitats, understanding how #EnvironmentalConditions shape #AdaptiveTraits and #SurvivalStrategies. The observer recognizes #HabitatRequirements and #EnvironmentalPressures that influence #SpeciesDistribution and #EcologicalFitness.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans understand that organisms are shaped by their environments and develop specific adaptations for survival in particular habitats
- **Principle 2:** Universal: environment-organism fit, survival adaptations; Cultural: traditional ecological knowledge, local habitat understanding
- **Principle 3:** Connects to Physical domain (environmental conditions), Biological domain (adaptation), Spatial domain (habitat distribution)",- **EcologicalObserver** (Entity): Person studying organism-environment relationships - **OrganismGroups** (Entity): Collections of related species or populations - **NaturalHabitats** (Entity): Environmental settings where organisms naturally live - **EnvironmentalConditions** (State): Physical and chemical characteristics of habitats - **AdaptiveTraits** (Quality): Characteristics that help organisms survive in their environments - **SurvivalStrategies** (Process): Behaviors and adaptations that enhance survival - **HabitatRequirements** (Entity): Environmental needs necessary for organism survival - **EnvironmentalPressures** (Entity): Challenges and constraints imposed by environments - **SpeciesDistribution** (State): Geographic patterns of where species are found - **EcologicalFitness** (Quality): Degree of organism adaptation to environmental conditions,
Biological,Ecological Systems,Resource Cycles and Energy Flow,"In this scenario, an #EcosystemAnalyst tracks #ResourceFlows and #EnergyTransfer through #EcologicalNetworks, studying #NutrientCycles, #FoodChains, and #EnergyPathways. The analyst understands #ResourceAvailability and #EcosystemDynamics that determine #EcologicalProductivity and #SystemStability.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans understand ecosystems as systems with flowing resources and energy that connect different organisms through feeding and nutrient relationships
- **Principle 2:** Universal: food chains, nutrient cycling concepts; Cultural: traditional resource management, ecological sustainability knowledge
- **Principle 3:** Connects to Physical domain (energy and matter flow), Systems thinking (network dynamics), Temporal domain (cyclical processes)",- **EcosystemAnalyst** (Entity): Person studying energy and resource flows in ecosystems - **ResourceFlows** (Process): Movement of materials and nutrients through ecosystems - **EnergyTransfer** (Process): Passage of energy between different ecosystem components - **EcologicalNetworks** (Entity): Interconnected systems of organisms and environmental components - **NutrientCycles** (Process): Circulation of essential elements through ecosystems - **FoodChains** (Entity): Sequences of organisms eating and being eaten - **EnergyPathways** (Entity): Routes through which energy moves in ecosystems - **ResourceAvailability** (State): Amount of resources accessible to organisms - **EcosystemDynamics** (Process): Changes and interactions within ecological systems - **EcologicalProductivity** (Quality): Rate of energy and biomass production in ecosystems - **SystemStability** (Quality): Ability of ecosystems to maintain function over time,
Biological,Ecological Systems,Environmental Change and Ecosystem Response,"In this scenario, an #ChangeObserver monitors #EnvironmentalDisturbances and #EcosystemResponses, studying how #ClimateVariations, #HumanImpacts, and #NaturalDisruptions affect #EcologicalBalance. The observer tracks #AdaptationProcesses and #ResilienceMechanisms that determine #EcosystemRecovery.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans understand ecosystems as dynamic systems that respond to disturbances through adaptation, resilience, or degradation
- **Principle 2:** Universal: environmental change effects, ecosystem responses; Cultural: traditional environmental management, conservation knowledge
- **Principle 3:** Connects to Temporal domain (change over time), Human impact assessment, Physical domain (environmental forces)","- **ChangeObserver** (Entity): Person monitoring environmental changes and ecosystem responses - **EnvironmentalDisturbances** (Entity): Events or conditions that disrupt normal ecosystem function - **EcosystemResponses** (Process): Changes in ecological systems following disturbances - **ClimateVariations** (Process): Changes in temperature, precipitation, and weather patterns - **HumanImpacts** (Entity): Human activities affecting natural ecosystems - **NaturalDisruptions** (Entity): Non-human events that alter ecosystem conditions - **EcologicalBalance** (State): Stable functioning of ecosystem components - **AdaptationProcesses** (Process): Ecosystem adjustments to changed conditions - **ResilienceMechanisms** (Process): Ecosystem abilities to recover from disturbances - **EcosystemRecovery** (Process): Restoration of ecosystem function after disturbance",
Biological,Health and Illness,Symptom Recognition and Illness Detection,"In this scenario, a #HealthMonitor observes #BodySignals and #BehavioralChanges in an #Individual to identify #IllnessSymptoms and determine #HealthStatus. The monitor recognizes #NormalVariations versus #PathologicalSigns and assesses #SeverityLevels to evaluate health conditions.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans recognize illness through deviation from normal bodily function and behavior patterns, using comparative assessment
- **Principle 2:** Universal: pain, fever, weakness as illness signs; Cultural: specific symptom interpretation, traditional diagnostic methods
- **Principle 3:** Connects to Psychological domain (bodily awareness), Cognitive domain (pattern recognition), Social domain (care-seeking behavior)",- **HealthMonitor** (Entity): Person observing and assessing health indicators - **BodySignals** (Entity): Physical signs indicating bodily conditions - **BehavioralChanges** (Process): Alterations in normal activity patterns - **Individual** (Entity): Person whose health status is being assessed - **IllnessSymptoms** (Entity): Specific indicators of disease or dysfunction - **HealthStatus** (State): Overall condition of physical and mental wellbeing - **NormalVariations** (Quality): Typical fluctuations in healthy functioning - **PathologicalSigns** (Entity): Indicators suggesting disease or dysfunction - **SeverityLevels** (Quality): Degree of illness intensity or health impact,
