Cluster,Subdomain,Notes
accounting,Economic and Commercial Practices,
administration,Governance and Law,
advertising,Economic and Commercial Practices,
aesthetics,Arts and Creative Practices,
agriculture,Economic and Commercial Practices,
anthropology,Social Roles and Identities,
arithmetic,Formal Systems and Abstract Representations,
army,Governance and Law,
artifact,Manipulation and Interaction with Objects,
artificial+AF8-intelligence,Knowledge Representation,
arts,Arts and Creative Practices,
astronomy,Natural Phenomena,
biological+AF8-process,Biological Entities and Life Processes,
biology,Biological Entities and Life Processes,
body,Body and Anatomy,
business,Economic and Commercial Practices,
categories+AF8-and+AF8-classification,Information Structures,
causality,Reasoning and Problem+AC0-Solving,
celebrations+AF8-and+AF8-festivities,Rituals and Traditions,
chemistry,Chemical Processes,
cleaning,Social Roles and Identities,
cloth,Social Roles and Identities,
cognition,Cognition and Mental Processes,
commerce,Economic and Commercial Practices,
communication,Social Interaction and Relationships,
competitions+AF8-and+AF8-contests,Group Dynamics and Collective Behavior,
computer+AF8-science,Formal Systems and Abstract Representations,
cosmology,Natural Phenomena,
creativity,Needs and Drives and Motivations,
crime,Conflict and Cooperation,
culture,Cultural Narratives and Memory,
design,Knowledge Representation,
disasters+AF8-and+AF8-crises,Natural Phenomena,
earth+AF8-sciences,Natural Phenomena,
eating+AF8-and+AF8-nutrition,Biological Entities and Life Processes,
economics,Economic and Commercial Practices,
emotion,Emotions and Affective States,
employment,Economic and Commercial Practices,
energy,Natural Phenomena,
environment,Ecological Systems,
ethnicity,Social Roles and Identities,
family,Social Roles and Identities,
fire,Natural Phenomena,
food,Biological Entities and Life Processes,
gender+AF8-and+AF8-sexuality,Social Roles and Identities,
geology,Earth and Environmental Processes,
government+AF8-and+AF8-politics,Institutions and Organizations,
health,Needs and Drives and Motivations,
history,Social Roles and Identities,
human+AF8-activities,Social Roles and Identities,
industry,Economic and Commercial Practices,
information,Information Structures,
law,Institutions and Organizations,
leisure,Social Roles and Identities,
linguistics,Signs and Communication and Language,
management,Economic and Commercial Practices,
materials,Matter and Substances,
mathematics,Formal Systems and Abstract Representations,
media,Cultural Expression,
modality,Modality and Perspective,
motion,Motion and Trajectory,
moral+AF8-standards,Conventions and Ethical Norms and Principles,
music,Arts and Creative Practices,
people,Social Roles and Identities,
physics,Natural Phenomena,
psychology,Perception and Sensation,
planning,Decision+AC0-Making and Planning,
religion,Institutions and Organizations,
representations,Information Structures,
scales,Formal Systems and Abstract Representations,
sciences,Social Roles and Identities,
society,Social Roles and Identities,
sociology,Social Roles and Identities,
space,Spatial Configuration,
sports,Group Dynamics and Collective Behavior,
technology,Economic and Commercial Practices,
time,Temporal Structure,
transport,Institutions and Organizations,
violence,Conflict and Cooperation,
war,Conflict and Cooperation,
well+AC0-being,Needs and Drives and Motivations,
location,Spatial Configuration,
livin+AF8-entities,Biological Entities and Life Processes,
substances,Chemical Processes,
movement+AF8-of+AF8-tought,Social Roles and Identities,
institution,Institutions and Organizations,
convention,Conventions and Ethical Norms and Principles,
language,Signs and Communication and Language,
signs,Signs and Communication and Language,
unit+AF8-of+AF8-measurement,Formal Systems and Abstract Representations,
metalanguage,Signs and Communication and Language,
speech+AF8-acts,Signs and Communication and Language,
