participant1,relation,participant2
Observer,conducts,SensoryExamination
SensoryExamination,reveals,MaterialProperties
Observer,performs,MaterialTesting
MaterialProperties,determine,MaterialBehavior
InteractionContexts,influence,MaterialBehavior
Observer,predicts,MaterialBehavior
MaterialAnalyst,examines,CompositeSubstances
CompositeSubstances,contain,ComponentMaterials
ComponentMaterials,form,MaterialLayers
ComponentMaterials,exhibit,MixingPatterns
ComponentMaterials,connected through,BondingTypes
MaterialLayers,create,MaterialStructure
MixingPatterns,create,MaterialStructure
MaterialStructure,determines,FunctionalProperties
Agent,observes,PhaseMaterials
EnvironmentalConditions,trigger,StateTransitions
Agent,applies,EnergyApplication
Agent,applies,EnergyRemoval
EnergyApplication,causes,PhaseChanges
PhaseChanges,result in,NewMaterialStates
NewMaterialStates,exhibit,BehavioralCharacteristics
BehavioralCharacteristics,differ across,NewMaterialStates
EmotionalStimuli,trigger,EmotionalStates
EmotionalStates,generate,EmotionalExpressions
EmotionalExpressions,manifest through,BodyLanguage
EmotionalExpressions,manifest through,VocalPatterns
SocialObservers,perform,EmotionalRecognition
EmotionalRecognition,leads to,SocialResponses
SocialResponses,may become,EmotionalStimuli
Individual,experiences,IntenseEmotions
IntenseEmotions,may be,Disruptive
Individual,employs,RegulationStrategies
RegulationStrategies,include,CognitiveReappraisal
RegulationStrategies,include,EmotionalSuppression
RegulationStrategies,include,SeekingSupport
RegulationStrategies,lead to,EmotionalBalance
EmotionalBalance,enables,AdaptiveFunctioning
MemoryTriggers,activate,EmotionalMemories
EmotionalMemories,connected to,PastExperiences
EmotionalMemories,create,EmotionalReactivation
EmotionalReactivation,exerts,AffectiveInfluence
DecisionMaking,determines,BehavioralChoices
BehavioralChoices,may create,MemoryTriggers
ProblemSolver,encounters,ComplexProblem
ProblemSolver,applies,DecompositionStrategies
DecompositionStrategies,create,SubProblems
SubProblems,contain,ProblemComponents
ProblemComponents,connected through,LogicalRelationships
ProblemSolver,develops,SolutionSteps
SolutionSteps,lead to,ProblemResolution
Reasoner,observes,ProblemEvidence
ProblemEvidence,leads to,Hypotheses
Reasoner,designs,Tests
Tests,produce,TestResults
Reasoner,conducts,EvidenceEvaluation
EvidenceEvaluation,leads to,TheoryRefinement
TheoryRefinement,may generate,Hypotheses
CreativeThinker,faces,IllDefinedProblems
IllDefinedProblems,trigger,IntuitiveProcesses
CreativeThinker,employs,AnalogyMaking
CreativeThinker,employs,CreativeStrategies
AnalogyMaking,connects,knowledge domains
CreativeStrategies,may lead to,InsightMoments
InsightMoments,reveal,NovelSolutions
NovelSolutions,provide,BreakthroughUnderstanding
MessageSender,encodes,IntendedMeanings
MessageSender,uses,CommunicationSystems
SymbolicMessages,transmitted through,CommunicationChannels
MessageReceiver,receives,SymbolicMessages
MessageReceiver,performs,MeaningDecoding
MeaningDecoding,produces,InterpretedMeanings
SemanticNoise,may distort,SymbolicMessages
ContextualFactors,influence,MeaningDecoding
LanguageUser,selects,LinguisticUnits
LanguageUser,applies,GrammaticalRules
GrammaticalRules,create,SyntacticStructures
SyntacticStructures,express,SemanticContent
LanguageUser,performs,SentenceConstruction
LanguageUser,performs,DiscourseOrganization
LanguageConventions,guide,language construction
language construction,serves,CommunicativeGoals
Communicator,combines,NonVerbalSignals
Combination,creates,MultimodalMessages
NonVerbalSignals,include,VisualCues
NonVerbalSignals,include,GesturePatterns
NonVerbalSignals,include,ProsodicFeatures
NonVerbalSignals,include,SpacialArrangements
NonVerbalSignals,provide,AdditionalMeaning
NonVerbalSignals,provide,EmotionalSubtext
AdditionalMeaning,enhances,VerbalElements
EmotionalSubtext,influences,message interpretation
MultimodalMessages,increase,CommunicativeEffectiveness
Observer,perceives,SpatialObjects
SpatialObjects,positioned through,SpatialRelationships
SpatialRelationships,defined within,SpatialFramework
Observer,employs,SpatialReasoning
SpatialReasoning,identifies,DistanceRelations
SpatialReasoning,identifies,DirectionalOrientations
SpatialReasoning,identifies,ContainmentRelations
All relations,contribute to,SpatialConfiguration
Navigator,conducts,SpatialExploration
SpatialExploration,involves,LandmarkIdentification
SpatialExploration,involves,RouteMemorization
LandmarkIdentification,contributes to,SpatialKnowledgeIntegration
RouteMemorization,contributes to,SpatialKnowledgeIntegration
SpatialKnowledgeIntegration,creates,MentalMaps
MentalMaps,develop into,CognitiveMaps
CognitiveMaps,enable,NavigationPlanning
NavigationPlanning,guides,WayfindingBehavior
SpatialThinker,works across,SpatialScales
SpatialScales,include,MicroscaleFeatures
SpatialScales,include,MacroscaleStructures
SpatialThinker,performs,ScaleTransition
Each scale,exhibits,SpatialPatterns
SpatialPatterns,exist at,DimensionalLevels
DimensionalLevels,connected through,ScaleRelationships
ScaleRelationships,form,HierarchicalOrganization
SocialActor,encounters,SocialSituations
SocialSituations,governed by,SocialConventions
SocialActor,performs,ConventionRecognition
ConventionRecognition,identifies,SocialExpectations
ConventionRecognition,identifies,ContextualNorms
SocialActor,selects,BehavioralChoices
BehavioralChoices,lead to,SocialConsequences
SocialConsequences,determine,SocialAcceptability
MoralAgent,encounters,EthicalDilemmas
EthicalDilemmas,involve,CompetingValues
MoralAgent,applies,MoralPrinciples
EthicalReasoning,considers,MoralObligations
MoralAgent,evaluates,EthicalOutcomes
EthicalFrameworks,guide,EthicalReasoning
EthicalReasoning,leads to,MoralDecisions
Observer,witnesses,NormViolations
Observer,conducts,MoralEvaluation
MoralEvaluation,considers,ViolationSeverity
MoralEvaluation,considers,IntentionalityFactors
MoralEvaluation,considers,CircumstantialContext
MoralEvaluation,produces,MoralJudgments
MoralJudgments,may lead to,SocialSanctions
MoralJudgments,may lead to,ForgivenessResponses
SocialSanctions,reinforce,EstablishedNorms
ForgivenessResponses,reinforce,EstablishedNorms
Navigator,observes,MovingObjects
MovingObjects,occupy,SpatialPositions
MovingObjects,exhibit,MovementPatterns
Navigator,uses,SpatialCues
SpatialCues,provide,DirectionalInformation
MovementPatterns,reveal,MovementTrajectories
Navigator,engages in,NavigationPlanning
Organizer,places,PhysicalObjects
TargetLocations,exist within,OrganizationalSpace
PhysicalObjects,must satisfy,PositionalRequirements
SpatialConstraints,limit,TargetLocations
SpatialRelationships,connect,PhysicalObjects
