idLU,luName,frameName,sensedescription
214,abandonar.verb,Abandonment,"deixar para trás, largar"
243,deixar.verb,Abandonment,"abandonar, deixar para trás."
244,abandono.noun,Abandonment,ato ou efeito de abandonar.
17092,abandon.verb,Abandonment,FN: leave behind
17093,leave.verb,Abandonment,FN: let remain in another place as abondoned
17094,abandonment.noun,Abandonment,FN: the act of relinquishing to no one
17095,abandoned.adj,Abandonment,FN: the state of being left behind
17096,forget.verb,Abandonment,FN: leave something behind unintentionally.
24172,abandonado.adj,Abandonment,deixado ao abandono; desamparado.
25273,abandonar.verb,Abandonment,dejar para trás.
25274,abandonado.adj,Abandonment,la persona o cosa que se ha dejado atrás.
25275,abandono.noun,Abandonment,el acto o el efecto de abandonarse.
25276,dejar.verb,Abandonment,abandonar algo.
25277,esquecer.verb,Abandonment,deixar algo para trás sem querer.
25278,olvidar.noun,Abandonment,dejar algo atrás involuntariamente.
29532,negligenciar.verb,Abandonment,"tratar com negligência; descuidar, desleixar."
29533,esquecido.adj,Abandonment,"que se esqueceu, abandonado, desprezado."
32174,laisser.verb,Abandonment,leave
33793,deixar quieto.verb,Abandonment,"ignorar, desconsiderar, esquecer, abandonar."
34061,neglect.verb,Abandonment,"To be irresponsible with a responsibility, to not give enough attention or care for something or someone."
35010,botar de lado.verb,Abandonment,"deixar, abandonar, esquecer, não dar importância."
42111,esquecimento.noun,Abandonment,""
42112,faltar.verb,Abandonment,""
10219,teem.verb,Abounding_with,COD: be full of or swarming with.
10220,crawling.adj,Abounding_with,FN: unpleasantly covered or crowded with.
10221,crawl.verb,Abounding_with,COD: be unpleasantly covered or crowded with.
10222,throng.verb,Abounding_with,"FN: be filled (with), teem (with)"
10223,thronged.adj,Abounding_with,FN: filled (with)
10224,crowded.adj,Abounding_with,FN: filled so far as to inhibit movement.
10225,swarming.adj,Abounding_with,FN: moving in or form a large group of people or things  
10226,swarm.verb,Abounding_with,"COD: move in or form a swarm, or move somewhere in large numbers."
10227,jostling.adj,Abounding_with,FN: being full of people or objects pushing against each other
10228,covered.adj,Abounding_with,FN: having a large quantity of something on the surface
10229,blanketed.adj,Abounding_with,"FN: covered (in, with)"
10230,cloaked.adj,Abounding_with,"FN: enveloped (in, with), generally to the point of being hidden"
10231,thronging.adj,Abounding_with,FN: swarming (with)
10232,coated.adj,Abounding_with,"FN: layered or covered (with,in) something"
10233,dotted.adj,Abounding_with,"FN: covered (with, in)"
10234,teeming.adj,Abounding_with,FN: filled with
10235,dabbed.adj,Abounding_with,FN: having been covered with quick light strokes
10236,drizzled.adj,Abounding_with,FN: having been covered by trickling a thin stream of liquid
10237,buttered.adj,Abounding_with,FN: covered with butter
10238,plastered.adj,Abounding_with,FN: covered in plaster or otherwise completely covered
10239,smeared.adj,Abounding_with,FN: covered with a sticky or greasy substance
10240,strewn.adj,Abounding_with,FN: covered with untidly scattered things
10241,splattered.adj,Abounding_with,FN: covered with a sticky or viscous liquid.
10242,stuffed.adj,Abounding_with,FN: filled to tightly with something
10243,tiled.adj,Abounding_with,FN: covered with tiles
10244,heaped.adj,Abounding_with,FN: loaded copiously
10245,crammed.adj,Abounding_with,FN: filled to the point of overflowing
10246,sprinkled.adj,Abounding_with,FN: covered by small drops or particles
10247,injected.adj,Abounding_with,FN: filled by means of injection
10248,draped.adj,Abounding_with,FN: covered with a loose cloth
10249,brimming.adj,Abounding_with,COD: full to the point of overflowing.
10250,replete.adj,Abounding_with,FN: filled
10251,chock-full.adj,Abounding_with,COD: filled to overflowing. 
10252,chock-a-block.adj,Abounding_with,COD: crammed full. 
10253,dusted.adj,Abounding_with,FN: covered with a powedered substance
10254,surfaced.adj,Abounding_with,FN: covered with a particular surface
10255,wallpapered.adj,Abounding_with,FN: covered in wallpaper
10256,overcrowded.adj,Abounding_with,FN: extremely full
10257,overfilled.adj,Abounding_with,FN: too full
10258,filled.adj,Abounding_with,FN: full
10259,full.adj,Abounding_with,"FN: containing many objects, but not necessarily without room for more"
10260,adorned.adj,Abounding_with,FN: decorated
10261,asphalted.adj,Abounding_with,FN: covered in asphalt
10262,brushed.adj,Abounding_with,FN: covered by something which was applied with a brush
10263,hung.adj,Abounding_with,FN: covered or adorned with hanging objects
10264,jammed.adj,Abounding_with,FN: over-crowded
10265,paved.adj,Abounding_with,FN: covered with stones or asphalt
10266,festooned.adj,Abounding_with,FN: adorned with festoons
10267,decked.adj,Abounding_with,FN: decorated brightly and extensively
10268,bedecked.adj,Abounding_with,FN: decorated lavishly
10269,bejewelled.adj,Abounding_with,FN: covered in jewels
10270,bespattered.adj,Abounding_with,FN: covered in patch of liquid
10271,spattered.adj,Abounding_with,FN: covered  with drops or spots. 
10272,decorated.adj,Abounding_with,FN: furned with ornamental things
10273,studded.adj,Abounding_with,FN: decorated with studs or other similar objects
10274,lined.adj,Abounding_with,FN: having its interior covered with a layer of different material
10275,ornamented.adj,Abounding_with,FN: covered in ornamental objects
10276,varnished.adj,Abounding_with,FN: covered in varnish
10277,painted.adj,Abounding_with,FN: covered with paint
10278,lacquered.adj,Abounding_with,FN: covered in lacquer
10279,glazed.adj,Abounding_with,FN: covered with a glaze
10280,gilded.adj,Abounding_with,FN: covered in a thin layer of gold
10281,embellished.adj,Abounding_with,FN: adorned or decorated
10282,panelled.adj,Abounding_with,FN: covered in panels
10283,rife.adj,Abounding_with,FN: full (often of something bad).
10284,piled.adj,Abounding_with,FN: to have a large quantity of objects on a surface
10285,littered.adj,Abounding_with,FN: having sporadic instances (esp. of something undesirable) irregularly distributed on the surface.
19531,adornado.adj,Abounding_with,enfeitado
22181,asfaltado.adj,Abounding_with,coberto de asfalto
22182,decorado.adj,Abounding_with,preenchido por decoração
22183,salpicado.adj,Abounding_with,marcado por pingos de algum líquido
22184,encoberto.adj,Abounding_with,coberto por algo
22185,cheio.adj,Abounding_with,que está preenchido completamente
22186,escovado.adj,Abounding_with,que foi limpo com escova
22187,amanteigado.adj,Abounding_with,untado ou misturado com manteiga
22188,repleto.adj,Abounding_with,completamente cheio
22189,abarrotado.adj,Abounding_with,cheio até transbordar
22190,encapotado.adj,Abounding_with,que está coberto com capote
22191,encasacado.adj,Abounding_with,vestido com casaco
22192,coberto.adj,Abounding_with,cheio ou protegido por alguma coisa
22193,engatinhar.verb,Abounding_with,ato de andar com as mãos e joelhos no chão
22194,rastejante.adj,Abounding_with,que rasteja
22195,lotado.adj,Abounding_with,"completamente preenchido, sem espaço."
22196,enfeitado.adj,Abounding_with,preenchido com efeites
22197,pontilhado.adj,Abounding_with,marcado ou coberto por pequenos pontos
22198,drapeado.adj,Abounding_with,dobrado
22199,regado.adj,Abounding_with,que foi molhado com líquido
22200,empoeirado.adj,Abounding_with,coberto por poeira
22201,embelezado.adj,Abounding_with,arrumado de forma a ficar belo
22202,preenchido.adj,Abounding_with,cheio com algo
22203,dourado.adj,Abounding_with,coberto com camada de ouro ou tinta na cor ouro
22204,esmaltado.adj,Abounding_with,que está revestido de esmalte
22205,amontoado.adj,Abounding_with,que está aglomerado
22206,pendurado.adj,Abounding_with,que está preso e suspenso no ar
22207,injetado.adj,Abounding_with,que foi introduzido por uma injeção
22208,emperrado.adj,Abounding_with,"que está travado, sem movimento"
22209,lacado.adj,Abounding_with,recoberto por laca
22210,forrado.adj,Abounding_with,que está coberto por um forro
22211,desarrumado.adj,Abounding_with,que está em desordem
22212,ornamentado.adj,Abounding_with,enfeitado
22213,superlotado.adj,Abounding_with,que está cheio além de sua capacidade
22214,pintado.adj,Abounding_with,que foi revestido por tinta
22215,pavimentado.adj,Abounding_with,"que foi coberto por pavimentação, revestimento"
22216,empilhado.adj,Abounding_with,disposto em pilha
22217,rebocado.adj,Abounding_with,coberto por reboco
22218,abundante.adj,Abounding_with,que existe em grande quantidade
22219,manchado.adj,Abounding_with,coberto por manchas
22220,respingado.adj,Abounding_with,molhado com pingos de algum líquido
22221,aspergido.adj,Abounding_with,respingado 
22222,polvilhado.adj,Abounding_with,salpicado com certa quantidade de pó
22223,borrifado.adj,Abounding_with,molhado com pingos de algum líquido
22224,espalhado.adj,Abounding_with,que se espalhou
22225,recheado.adj,Abounding_with,que foi preenchido com recheio
22226,proliferar.verb,Abounding_with,ato ou efeito de multiplicar-se rapidamente
22227,aglomerar.verb,Abounding_with,ato ou efeito de reunir
22228,aglomerado.adj,Abounding_with,acumulado
22229,ladrilhado.adj,Abounding_with,revestido com ladrilhos
22230,envernizado.adj,Abounding_with,revestido com verniz
32175,populacional.adj,Abounding_with,populational.
32176,bondé.adj,Abounding_with,crowded
33332,pleno.adj,Abounding_with,"que se mostra cheio, repleto."
34658,inesgotável.adj,Abounding_with,"Ato ou efeito de não ter fim, aquilo que não pode ser usado até a última porção."
34718,enriquecer.verb,Abounding_with,O ato ou efeito de tornar rico.
34757,bombar.verb,Abounding_with,"Estar cheio, lotado."
34901,populoso.adj,Abounding_with,Cheio.
36373,esparso.adj,Abounding_with,"espalhado, solto "
37191,bondé.adj,Abounding_with,crowded
42553,superpopuloso.adj,Abounding_with,que possui uma quantidade excessiva ou muito grande de habitantes.
42643,engolir.verb,Abounding_with,"cobrir, inundar ou ocupar completamente um espaço."
42828,encapuzado.adj,Abounding_with,que usa capuz.
14232,sizzle.verb,Absorb_heat,FN: to make a hissing sound in or as if in roasting or frying
14233,fry.verb,Absorb_heat,"FN: be cooked in hot fat or oil, or get very hot by exposure to a heat source"
14234,bake.verb,Absorb_heat,"FN: to be cooked by dry heat, especially in an oven and as food"
14235,simmer.verb,Absorb_heat,FN: to cook slowly in a liquid just below the boiling point in a closed dish or pan
14236,cook.verb,Absorb_heat,COD: (of food) be heated so as to reach an edible state.
14237,stew.verb,Absorb_heat,FN: to become boiled slowly or by simmering heat
14238,boil.verb,Absorb_heat,FN: to be cooked by immersing in a boiling liquid
14239,scorch.verb,Absorb_heat,FN: become burnt and crispy on the surface or edges.
14240,sear.verb,Absorb_heat,"FN: become burned by intense heat, usually from a metal Heat_source"
