Domain,Subdomain,Macroscenario,Scenario
BIOLOGICAL,Biological Entities and Life Processes,Life_Process_Dynamics,Life Cycle Recognition and Developmental Stages
BIOLOGICAL,Biological Entities and Life Processes,Life_Process_Dynamics,Vital Functions and Biological Activities
BIOLOGICAL,Biological Entities and Life Processes,Life_Process_Dynamics,Species Interactions and Ecological Relationships
BIOLOGICAL,Biological Entities and Life Processes,Biological_Classification_Systems,Taxonomic hierarchy recognition and species categorization
BIOLOGICAL,Body and Anatomy,Body_Structure_Understanding,Body Part Recognition and Structural Understanding
BIOLOGICAL,Body and Anatomy,Body_Structure_Understanding,Internal vs External Body Awareness
BIOLOGICAL,Body and Anatomy,Body_Structure_Understanding,Body Symmetry and Proportional Relationships
BIOLOGICAL,Body and Anatomy,Body_Modification_Adaptation,Body enhancement prosthetics and adaptive modifications
BIOLOGICAL,Ecological Systems,Ecosystem_Static_Relations,Habitat Relationships and Environmental Adaptation
BIOLOGICAL,Ecological Systems,Ecosystem_Static_Relations,Resource Cycles and Energy Flow
BIOLOGICAL,Ecological Systems,Ecosystem_Dynamic_Processes,Environmental Change and Ecosystem Response
BIOLOGICAL,Ecological Systems,Ecosystem_Measurement_Monitoring,Environmental data collection and biodiversity assessment
BIOLOGICAL,Health and Illness,Health_Management,Symptom Recognition and Illness Detection
BIOLOGICAL,Health and Illness,Health_Management,Treatment and Recovery Processes
BIOLOGICAL,Health and Illness,Health_Management,Prevention and Health Maintenance
BIOLOGICAL,Health and Illness,Health_Communication_Education,Medical information dissemination and health literacy
BIOLOGICAL,Physiological Functions,Body_Function_Systems,Vital System Operations and Regulatory Functions
BIOLOGICAL,Physiological Functions,Body_Function_Systems,Sensory Processing and Perceptual Functions
BIOLOGICAL,Physiological Functions,Body_Function_Systems,Motor Control and Movement Coordination
BIOLOGICAL,Physiological Functions,Body_Performance_Optimization,Athletic performance enhancement and physical conditioning
COGNITIVE,Attention and Awareness,Attention_Control,Selective Attention and Focus Control
COGNITIVE,Attention and Awareness,Attention_Control,Awareness States and Conscious Monitoring
COGNITIVE,Attention and Awareness,Attention_Control,Divided Attention and Multitasking
COGNITIVE,Attention and Awareness,Metacognitive_Monitoring,Self-awareness of cognitive processes and mental state monitoring
COGNITIVE,Beliefs and Knowledge and Assumptions,Knowledge_Belief_Processing,Knowledge Acquisition and Belief Formation
COGNITIVE,Beliefs and Knowledge and Assumptions,Knowledge_Belief_Processing,Assumption Recognition and Epistemic Awareness
COGNITIVE,Beliefs and Knowledge and Assumptions,Knowledge_Belief_Processing,Belief Revision and Knowledge Updating
COGNITIVE,Beliefs and Knowledge and Assumptions,Epistemic_Communication,Knowledge sharing and belief transmission between individuals
COGNITIVE,Cognitive Judgments and Evaluations,Evaluative_Cognition,Quality Assessment and Evaluative Thinking
COGNITIVE,Cognitive Judgments and Evaluations,Evaluative_Cognition,Critical Analysis and Analytical Judgment
COGNITIVE,Cognitive Judgments and Evaluations,Evaluative_Cognition,Preference Formation and Value Judgments
COGNITIVE,Cognitive Judgments and Evaluations,Comparative_Assessment,Ranking alternatives and relative quality comparison
COGNITIVE,Decision-Making and Planning,Strategic_Planning,Choice Evaluation and Decision Selection
COGNITIVE,Decision-Making and Planning,Strategic_Planning,Future Planning and Goal Setting
COGNITIVE,Decision-Making and Planning,Strategic_Planning,Problem-Solving and Strategic Thinking
COGNITIVE,Decision-Making and Planning,Decision_Implementation_Monitoring,Tracking decision outcomes and plan execution monitoring
COGNITIVE,Intention and Goal-Oriented Action,Intentional_Action,Goal Formation and Intention Setting
COGNITIVE,Intention and Goal-Oriented Action,Intentional_Action,Action Planning and Implementation
COGNITIVE,Intention and Goal-Oriented Action,Intentional_Action,Volitional Control and Persistence
